el_state_1,el_state_2,polinom,coeff
1,1,1,-66.5272
2,2,1,66.5272
1,2,q6-,1353.5637
1,2,q5-,475.607262
1,2,q4-,118.2699828
1,1,q3*q3,0.352689713
1,1,q3*q2,2.32098701
1,1,q3*q1,-2.91672892
1,1,q2*q2,1.4827921
1,1,q2*q1,-0.722910055
1,1,q1*q1,-7.21713975
1,1,q6+*q6-,-2.27013794
1,1,q6+*q5-,0.0623213654
1,1,q6+*q4-,-0.323576887
1,1,q5+*q5-,2.40356186
1,1,q5+*q4-,0.8851853
1,1,q4+*q4-,-0.460240988
1,2,q3*q6-,-133.126615
1,2,q3*q5-,-68.8181546
1,2,q3*q4-,-8.53094598
1,2,q2*q6-,71.9715042
1,2,q2*q5-,-117.1400916
1,2,q2*q4-,0.687921618
1,2,q1*q6-,-1.534692748
1,2,q1*q5-,23.2309212
1,2,q1*q4-,5.88605292
1,2,q6+*q6+,161.8205354
1,2,q6+*q5+,-67.3066376
1,2,q6+*q4+,32.2791244
1,2,q5+*q5+,-70.2501914
1,2,q5+*q4+,11.22815664
1,2,q4+*q4+,-20.2475588
1,1,q3*q3*q3,-70.1942532
1,1,q3*q3*q2,-6.06796468
1,1,q3*q3*q1,6.45463232
1,1,q3*q2*q2,-4.91132145
1,1,q3*q2*q1,-6.66964246
1,1,q3*q1*q1,11.4420447
1,1,q3*q6+*q6-,-4.16263495
1,1,q3*q6+*q5-,2.21411496
1,1,q3*q6+*q4-,5.74691823
1,1,q3*q5+*q5-,1.82798218
1,1,q3*q5+*q4-,-0.738856087
1,1,q3*q4+*q4-,7.14496126
1,1,q2*q2*q2,-6.9049395
1,1,q2*q2*q1,-24.9692967
1,1,q2*q1*q1,0.897612251
1,1,q2*q6+*q6-,3.36743058
1,1,q2*q6+*q5-,1.08666267
1,1,q2*q6+*q4-,16.5734193
1,1,q2*q5+*q5-,-0.277752816
1,1,q2*q5+*q4-,-2.3732655
1,1,q2*q4+*q4-,6.96057281
1,1,q1*q1*q1,165.14786
1,1,q1*q6+*q6-,-21.5072085
1,1,q1*q6+*q5-,-2.27196482
1,1,q1*q6+*q4-,2.10299209
1,1,q1*q5+*q5-,-7.80747383
1,1,q1*q5+*q4-,1.88086737
1,1,q1*q4+*q4-,89.1101781
1,1,q6+*q6+*q6+,1.58691651
1,1,q6+*q6+*q5+,-4.68595166
1,1,q6+*q6+*q4+,6.96392648
1,1,q6+*q5+*q5+,-0.625579563
1,1,q6+*q5+*q4+,-10.7703967
1,1,q6+*q4+*q4+,-3.06261507
1,1,q5+*q5+*q5+,-6.73082063
1,1,q5+*q5+*q4+,-6.00976414
1,1,q5+*q4+*q4+,-9.31954282
1,1,q4+*q4+*q4+,-65.0310025
1,2,q3*q3*q6-,6.97249174
1,2,q3*q3*q5-,8.26602526
1,2,q3*q3*q4-,1.353893724
1,2,q3*q2*q6-,-5.02902206
1,2,q3*q2*q5-,11.99742776
1,2,q3*q2*q4-,1.355868474
1,2,q3*q1*q6-,-0.64369251
1,2,q3*q1*q5-,0.01045229448
1,2,q3*q1*q4-,1.997861176
1,2,q3*q6+*q6+,-9.60694216
1,2,q3*q6+*q5+,4.16240968
1,2,q3*q6+*q4+,-1.69132016
1,2,q3*q5+*q5+,5.61331718
1,2,q3*q5+*q4+,-0.808829928
1,2,q3*q4+*q4+,0.0622966942
1,2,q2*q2*q6-,-0.0353539034
1,2,q2*q2*q5-,12.30179676
1,2,q2*q2*q4-,-2.68178306
1,2,q2*q1*q6-,2.32990084
1,2,q2*q1*q5-,-0.402181792
1,2,q2*q1*q4-,2.68981182
1,2,q2*q6+*q6+,7.83349056
1,2,q2*q6+*q5+,0.370256836
1,2,q2*q6+*q4+,-3.45728502
1,2,q2*q5+*q5+,2.89863592
1,2,q2*q5+*q4+,1.801180248
1,2,q2*q4+*q4+,-0.657517778
1,2,q1*q1*q6-,-0.00382564408
1,2,q1*q1*q5-,3.06667388
1,2,q1*q1*q4-,1.454203056
1,2,q1*q6+*q6+,2.54222616
1,2,q1*q6+*q5+,-3.03349708
1,2,q1*q6+*q4+,0.605050866
1,2,q1*q5+*q5+,-1.308399916
1,2,q1*q5+*q4+,0.1060710586
1,2,q1*q4+*q4+,-1.045867032
1,2,q6+*q6-*q6-,3.93313246
1,2,q6+*q6-*q5-,-2.24080688
1,2,q6+*q6-*q4-,-3.78080332
1,2,q6+*q5-*q5-,-1.73403311
1,2,q6+*q5-*q4-,-0.23461364
1,2,q6+*q4-*q4-,-0.49648874
1,2,q6-*q6-*q5+,3.21604592
1,2,q6-*q6-*q4+,1.954430478
1,2,q6-*q5+*q5-,1.62406092
1,2,q6-*q5+*q4-,-1.018311778
1,2,q6-*q5-*q4+,2.39309548
1,2,q6-*q4+*q4-,-0.453170746
1,2,q5+*q5-*q5-,3.67124136
1,2,q5+*q5-*q4-,-2.08438088
1,2,q5+*q4-*q4-,0.833011654
1,2,q5-*q5-*q4+,1.79868617
1,2,q5-*q4+*q4-,0.001275676612
1,2,q4+*q4-*q4-,0.950844536
1,1,q3*q3*q3*q3,5.41321076
1,1,q3*q3*q3*q2,0.551418853
1,1,q3*q3*q3*q1,-0.509561704
1,1,q3*q3*q2*q2,-0.310538676
1,1,q3*q3*q2*q1,-0.387112751
1,1,q3*q3*q1*q1,-0.108063425
1,1,q3*q3*q6+*q6-,0.0252278103
1,1,q3*q3*q6+*q5-,0.00160030235
1,1,q3*q3*q6+*q4-,-0.0286576408
1,1,q3*q3*q5+*q5-,-0.288770492
1,1,q3*q3*q5+*q4-,-0.0372161123
1,1,q3*q3*q4+*q4-,-0.199560048
1,1,q3*q2*q2*q2,-0.342414963
1,1,q3*q2*q2*q1,-0.790166005
1,1,q3*q2*q1*q1,-0.964795973
1,1,q3*q2*q6+*q6-,0.266762866
1,1,q3*q2*q6+*q5-,-0.0111570666
1,1,q3*q2*q6+*q4-,0.284648507
1,1,q3*q2*q5+*q5-,-0.107216812
1,1,q3*q2*q5+*q4-,-0.195822132
1,1,q3*q2*q4+*q4-,-0.645864631
1,1,q3*q1*q1*q1,0.708958589
1,1,q3*q1*q6+*q6-,-0.261533743
1,1,q3*q1*q6+*q5-,0.0841371578
1,1,q3*q1*q6+*q4-,0.355177537
1,1,q3*q1*q5+*q5-,-0.208738043
1,1,q3*q1*q5+*q4-,-0.16814205
1,1,q3*q1*q4+*q4-,0.281045196
1,1,q3*q6+*q6+*q6+,0.0512062965
1,1,q3*q6+*q6+*q5+,-0.165876738
1,1,q3*q6+*q6+*q4+,0.163954814
1,1,q3*q6+*q5+*q5+,-0.0490967026
1,1,q3*q6+*q5+*q4+,-0.163783682
1,1,q3*q6+*q4+*q4+,-0.311263863
1,1,q3*q5+*q5+*q5+,-0.040244333
1,1,q3*q5+*q5+*q4+,-0.0320309994
1,1,q3*q5+*q4+*q4+,0.112476945
